height,thickness,width,web
5,0.05050333290908663,0.06060399949090396,0.010100666581817326
5,0.05050333290908663,0.06060399949090396,0.010100666581817326
5,0.05050333290908663,0.06060399949090396,0.010100666581817326
5,0.05050333290908663,0.06060399949090396,0.010100666581817326
5,0.05050333290908663,0.06060399949090396,0.010100666581817326
5,0.05050333290908663,0.06060399949090396,0.010100666581817326
3,0.04648923103612331,0.03984791231667713,0.006641318719446188
4,0.05110577965518438,0.05110577965518438,0.008517629942530731
5,0.05050333290908663,0.06060399949090396,0.010100666581817326
6,0.05831622570006891,0.0699794708400827,0.011663245140013783
7,0.052850503912063106,0.07927575586809466,0.013212625978015776
8,0.059011871282132804,0.0885178069231992,0.014752967820533201
9,0.06259154153115569,0.09388731229673353,0.015647885382788922
10,0.06597727783315831,0.09896591674973745,0.016494319458289577
3,0.05977186847501569,0.03984791231667713,0.006641318719446188
4,0.059623409597715116,0.05110577965518438,0.008517629942530731
5,0.06060399949090396,0.06060399949090396,0.010100666581817326
6,0.0699794708400827,0.0699794708400827,0.011663245140013783
7,0.06606312989007888,0.07927575586809466,0.013212625978015776
8,0.073764839102666,0.0885178069231992,0.014752967820533201
9,0.06259154153115569,0.09388731229673353,0.015647885382788922
3,0.05977186847501569,0.03984791231667713,0.006641318719446188
4,0.059623409597715116,0.05110577965518438,0.008517629942530731
5,0.06060399949090396,0.06060399949090396,0.010100666581817326
6,0.0699794708400827,0.0699794708400827,0.011663245140013783
7,0.06606312989007888,0.07927575586809466,0.013212625978015776
8,0.073764839102666,0.0885178069231992,0.014752967820533201
9,0.06259154153115569,0.09388731229673353,0.015647885382788922
3,0.05977186847501569,0.03984791231667713,0.006641318719446188
4,0.059623409597715116,0.05110577965518438,0.008517629942530731
5,0.06060399949090396,0.06060399949090396,0.010100666581817326
6,0.0699794708400827,0.0699794708400827,0.011663245140013783
7,0.06606312989007888,0.07927575586809466,0.013212625978015776
8,0.073764839102666,0.0885178069231992,0.014752967820533201
9,0.06259154153115569,0.09388731229673353,0.015647885382788922
3,0.05977186847501569,0.03984791231667713,0.006641318719446188
4,0.059623409597715116,0.05110577965518438,0.008517629942530731
5,0.06060399949090396,0.06060399949090396,0.010100666581817326
6,0.0699794708400827,0.0699794708400827,0.011663245140013783
7,0.06606312989007888,0.07927575586809466,0.013212625978015776
8,0.073764839102666,0.0885178069231992,0.014752967820533201
9,0.06259154153115569,0.09388731229673353,0.015647885382788922
3,0.05977186847501569,0.03984791231667713,0.006641318719446188
4,0.059623409597715116,0.05110577965518438,0.008517629942530731
5,0.06060399949090396,0.06060399949090396,0.010100666581817326
6,0.0699794708400827,0.0699794708400827,0.011663245140013783
7,0.06606312989007888,0.07927575586809466,0.013212625978015776
8,0.073764839102666,0.0885178069231992,0.014752967820533201
9,0.06259154153115569,0.09388731229673353,0.015647885382788922
3,0.05977186847501569,0.03984791231667713,0.006641318719446188
4,0.06814103954024585,0.05110577965518438,0.008517629942530731
5,0.07070466607272129,0.06060399949090396,0.010100666581817326
6,0.0699794708400827,0.0699794708400827,0.011663245140013783
7,0.07927575586809466,0.07927575586809466,0.013212625978015776
8,0.073764839102666,0.0885178069231992,0.014752967820533201
9,0.07823942691394462,0.09388731229673353,0.015647885382788922
3,0.061985641381497744,0.053130549755569495,0.00885509162592825
4,0.05678419961687154,0.06814103954024585,0.011356839923374308
5,0.06733777721211551,0.0808053326545386,0.0134675554424231
6,0.062203974080073506,0.09330596112011026,0.015550993520018376
7,0.07046733854941747,0.10570100782412621,0.01761683463735437
8,0.07868249504284373,0.1180237425642656,0.019670623760710933
9,0.08345538870820758,0.12518308306231138,0.020863847177051895
3,0.061985641381497744,0.053130549755569495,0.00885509162592825
4,0.05678419961687154,0.06814103954024585,0.011356839923374308
5,0.06733777721211551,0.0808053326545386,0.0134675554424231
6,0.062203974080073506,0.09330596112011026,0.015550993520018376
7,0.07046733854941747,0.10570100782412621,0.01761683463735437
8,0.07868249504284373,0.1180237425642656,0.019670623760710933
9,0.08345538870820758,0.12518308306231138,0.020863847177051895
10,0.0659772778331583,0.1319545556663166,0.0219924259443861
3,0.061985641381497744,0.053130549755569495,0.00885509162592825
4,0.05678419961687154,0.06814103954024585,0.011356839923374308
5,0.06733777721211551,0.0808053326545386,0.0134675554424231
6,0.062203974080073506,0.09330596112011026,0.015550993520018376
7,0.07046733854941747,0.10570100782412621,0.01761683463735437
8,0.07868249504284373,0.1180237425642656,0.019670623760710933
9,0.08345538870820758,0.12518308306231138,0.020863847177051895
10,0.0659772778331583,0.1319545556663166,0.0219924259443861
3,0.061985641381497744,0.053130549755569495,0.00885509162592825
4,0.05678419961687154,0.06814103954024585,0.011356839923374308
5,0.06733777721211551,0.0808053326545386,0.0134675554424231
6,0.062203974080073506,0.09330596112011026,0.015550993520018376
7,0.07046733854941747,0.10570100782412621,0.01761683463735437
8,0.07868249504284373,0.1180237425642656,0.019670623760710933
9,0.08345538870820758,0.12518308306231138,0.020863847177051895
10,0.0659772778331583,0.1319545556663166,0.0219924259443861
3,0.061985641381497744,0.053130549755569495,0.00885509162592825
3,0.061985641381497744,0.053130549755569495,0.00885509162592825
3,0.061985641381497744,0.053130549755569495,0.00885509162592825
4,0.05678419961687154,0.06814103954024585,0.011356839923374308
5,0.06733777721211551,0.0808053326545386,0.0134675554424231
6,0.062203974080073506,0.09330596112011026,0.015550993520018376
7,0.07046733854941747,0.10570100782412621,0.01761683463735437
8,0.07868249504284373,0.1180237425642656,0.019670623760710933
9,0.08345538870820758,0.12518308306231138,0.020863847177051895
10,0.0659772778331583,0.1319545556663166,0.0219924259443861
3,0.061985641381497744,0.053130549755569495,0.00885509162592825
4,0.05678419961687154,0.06814103954024585,0.011356839923374308
5,0.06733777721211551,0.0808053326545386,0.0134675554424231
6,0.062203974080073506,0.09330596112011026,0.015550993520018376
7,0.07046733854941747,0.10570100782412621,0.01761683463735437
8,0.07868249504284373,0.1180237425642656,0.019670623760710933
9,0.08345538870820758,0.12518308306231138,0.020863847177051895
10,0.0659772778331583,0.1319545556663166,0.0219924259443861
3,0.061985641381497744,0.053130549755569495,0.00885509162592825
4,0.05678419961687154,0.06814103954024585,0.011356839923374308
3,0.061985641381497744,0.053130549755569495,0.00885509162592825
4,0.05678419961687154,0.06814103954024585,0.011356839923374308
5,0.06733777721211551,0.0808053326545386,0.0134675554424231
6,0.062203974080073506,0.09330596112011026,0.015550993520018376
7,0.07046733854941747,0.10570100782412621,0.01761683463735437
8,0.07868249504284373,0.1180237425642656,0.019670623760710933
9,0.08345538870820758,0.12518308306231138,0.020863847177051895
10,0.0659772778331583,0.1319545556663166,0.0219924259443861
3,0.061985641381497744,0.053130549755569495,0.00885509162592825
4,0.05678419961687154,0.06814103954024585,0.011356839923374308
5,0.06733777721211551,0.0808053326545386,0.0134675554424231
6,0.062203974080073506,0.09330596112011026,0.015550993520018376
7,0.07046733854941747,0.10570100782412621,0.01761683463735437
8,0.07868249504284373,0.1180237425642656,0.019670623760710933
9,0.08345538870820758,0.12518308306231138,0.020863847177051895
10,0.0659772778331583,0.1319545556663166,0.0219924259443861
3,0.061985641381497744,0.053130549755569495,0.00885509162592825
4,0.05678419961687154,0.06814103954024585,0.011356839923374308
5,0.06733777721211551,0.0808053326545386,0.0134675554424231
6,0.062203974080073506,0.09330596112011026,0.015550993520018376
7,0.07046733854941747,0.10570100782412621,0.01761683463735437
8,0.07868249504284373,0.1180237425642656,0.019670623760710933
9,0.08345538870820758,0.12518308306231138,0.020863847177051895
10,0.0659772778331583,0.1319545556663166,0.0219924259443861
3,0.16824674089263675,0.053130549755569495,0.00885509162592825
3,0.16824674089263675,0.053130549755569495,0.00885509162592825
4,0.22713679846748616,0.06814103954024585,0.011356839923374308
5,0.2828186642908851,0.0808053326545386,0.0134675554424231
6,0.3421218574404043,0.09330596112011026,0.015550993520018376
7,0.4051871966591505,0.10570100782412621,0.01761683463735437
8,0.4720949702570624,0.1180237425642656,0.019670623760710933
9,0.5424600266033492,0.12518308306231138,0.020863847177051895
10,0.6377803523871969,0.1319545556663166,0.0219924259443861
3,0.16824674089263675,0.053130549755569495,0.00885509162592825
4,0.22713679846748616,0.06814103954024585,0.011356839923374308
5,0.2828186642908851,0.0808053326545386,0.0134675554424231
6,0.3421218574404043,0.09330596112011026,0.015550993520018376
7,0.4051871966591505,0.10570100782412621,0.01761683463735437
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
5,0.20201333163634652,0.0808053326545386,0.0134675554424231
6,0.24881589632029402,0.09330596112011026,0.015550993520018376
7,0.29948618883502426,0.10570100782412621,0.01761683463735437
8,0.33440060393208587,0.1180237425642656,0.019670623760710933
9,0.39641309636398603,0.12518308306231138,0.020863847177051895
10,0.43984851888772203,0.1319545556663166,0.0219924259443861
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
5,0.20201333163634652,0.0808053326545386,0.0134675554424231
6,0.24881589632029402,0.09330596112011026,0.015550993520018376
7,0.29948618883502426,0.10570100782412621,0.01761683463735437
8,0.33440060393208587,0.1180237425642656,0.019670623760710933
9,0.39641309636398603,0.12518308306231138,0.020863847177051895
10,0.43984851888772203,0.1319545556663166,0.0219924259443861
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
5,0.20201333163634652,0.0808053326545386,0.0134675554424231
6,0.24881589632029402,0.09330596112011026,0.015550993520018376
7,0.29948618883502426,0.10570100782412621,0.01761683463735437
8,0.33440060393208587,0.1180237425642656,0.019670623760710933
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
5,0.20201333163634652,0.0808053326545386,0.0134675554424231
6,0.24881589632029402,0.09330596112011026,0.015550993520018376
7,0.29948618883502426,0.10570100782412621,0.01761683463735437
8,0.33440060393208587,0.1180237425642656,0.019670623760710933
9,0.39641309636398603,0.12518308306231138,0.020863847177051895
10,0.43984851888772203,0.1319545556663166,0.0219924259443861
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
5,0.20201333163634652,0.0808053326545386,0.0134675554424231
6,0.24881589632029402,0.09330596112011026,0.015550993520018376
7,0.29948618883502426,0.10570100782412621,0.01761683463735437
8,0.33440060393208587,0.1180237425642656,0.019670623760710933
9,0.39641309636398603,0.12518308306231138,0.020863847177051895
10,0.43984851888772203,0.1319545556663166,0.0219924259443861
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
5,0.20201333163634652,0.0808053326545386,0.0134675554424231
6,0.24881589632029402,0.09330596112011026,0.015550993520018376
7,0.29948618883502426,0.10570100782412621,0.01761683463735437
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
6,0.24881589632029402,0.09330596112011026,0.015550993520018376
7,0.29948618883502426,0.10570100782412621,0.01761683463735437
8,0.33440060393208587,0.1180237425642656,0.019670623760710933
9,0.39641309636398603,0.12518308306231138,0.020863847177051895
10,0.43984851888772203,0.1319545556663166,0.0219924259443861
3,0.11511619113706724,0.053130549755569495,0.00885509162592825
4,0.15899575892724033,0.06814103954024585,0.011356839923374308
5,0.19288876720318143,0.08902558486300682,0.014837597477167803
5,0.19288876720318143,0.08902558486300682,0.014837597477167803
5,0.19288876720318143,0.08902558486300682,0.014837597477167803
